"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\StageScene\StagePage.ts", "TypeScript", 0, 0, 0, 91, 0, 11, 102
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\StageScene\StagePoint.ts", "TypeScript", 0, 0, 0, 102, 0, 6, 108
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\StageScene\StageScene.ts", "TypeScript", 0, 0, 0, 13, 0, 2, 15
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\UIBase.ts", "TypeScript", 0, 0, 0, 49, 6, 15, 70
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\UIContainer.ts", "TypeScript", 0, 0, 0, 61, 5, 8, 74
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\Script\UI\UIMgr.ts", "TypeScript", 0, 0, 0, 161, 1, 13, 175
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\alert.json", "JSON", 39, 0, 0, 0, 0, 0, 39
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\base.json", "JSON", 38, 0, 0, 0, 0, 0, 38
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\bundle_list.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\hero.json", "JSON", 199, 0, 0, 0, 0, 0, 199
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\items.json", "JSON", 74, 0, 0, 0, 0, 0, 74
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\monsters.json", "JSON", 89, 0, 0, 0, 0, 0, 89
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\soldier.json", "JSON", 207, 0, 0, 0, 0, 0, 207
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\stage.json", "JSON", 264, 0, 0, 0, 0, 0, 264
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\start_scene.json", "JSON", 27, 0, 0, 0, 0, 0, 27
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\task.json", "JSON", 79, 0, 0, 0, 0, 0, 79
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\texture.json", "JSON", 77, 0, 0, 0, 0, 0, 77
"d:\PZB\Cocos3D\HelloTK3.4.0\assets\resources\config\ui.json", "JSON", 20, 0, 0, 0, 0, 0, 20
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\application.8a6fe.js", "JavaScript", 0, 183, 0, 0, 2, 25, 210
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\assets\start-scene\config.9e21e.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\assets\start-scene\import\02\0248a9e15.62a1a.json", "JSON", 1, 0, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\assets\start-scene\index.9e21e.js", "JavaScript", 0, 60, 0, 0, 1, 46, 107
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos-js\_commonjsHelpers-19d0a8b5.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos-js\array-collision-matrix-ec6af177.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos-js\cc.js", "JavaScript", 0, 109, 0, 0, 0, 35, 144
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos-js\collision-matrix-28b2cee7.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos-js\index-bdb8067d.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos-js\instantiated-9922024b.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos-js\physics-ammo.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos-js\physics-framework.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos-js\tuple-dictionary-5e20c301.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos-js\wait-for-ammo-instantiation.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\2d.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\3d.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\audio.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\base.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\camera-component-ec549211.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
